device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed	weather_timestamp	temperature	wind_speed	wind_direction	humidity	barometer	visibility	time_window	Ice fog	Snow flurries	Light fog	Quite cool	Rain	Sleet	Haze	Freezing rain	Cool	Fog	Light rain	Light freezing rain	Cloudy	Light snow	Chilly	Drizzle	Low clouds	Rain showers	Snow	Scattered showers	Snow showers	Hail	Thundershowers	Sprinkles	Thunderstorms	Partly sunny	Scattered clouds	Clear	Sunny	Partly cloudy	Passing clouds	Broken clouds	time_day_of_week_window
CEK049	50.82448	4.393893	1561023900	1561024800	11	21	1561024200	19	15	Wind blowing from 260° West to East	68	1012		11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561024800	1561025700	6	21	1561026000	19	15	Wind blowing from 270° West to East	68	1013		12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561025700	1561026600	8	23	1561026000	19	15	Wind blowing from 270° West to East	68	1013		12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561026600	1561027500	9	18	1561027800	19	11	Wind blowing from 250° West-southwest to East-northeast	68	1013		12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561027500	1561028400	6	20	1561027800	19	11	Wind blowing from 250° West-southwest to East-northeast	68	1013		12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561028400	1561029300	10	23	1561029600	20	13	Wind blowing from 250° West-southwest to East-northeast	64	1013		13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561029300	1561030200	13	22	1561029600	20	13	Wind blowing from 250° West-southwest to East-northeast	64	1013		13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561030200	1561031100	17	23	1561031400	20	13	Wind blowing from 250° West-southwest to East-northeast	64	1013		13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561031100	1561032000	22	21	1561031400	20	13	Wind blowing from 250° West-southwest to East-northeast	64	1013		13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561032000	1561032900	13	22	1561033200	20	11	Wind blowing from 260° West to East	60	1013		14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
