device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed
CEK049	50.82448	4.393893	1544679900	1544680800	25	22
CEK049	50.82448	4.393893	1544680800	1544681700	27	22
CEK049	50.82448	4.393893	1544681700	1544682600	31	19
CEK049	50.82448	4.393893	1544682600	1544683500	25	20
CEK049	50.82448	4.393893	1544683500	1544684400	35	20
CEK049	50.82448	4.393893	1544684400	1544685300	19	22
CEK049	50.82448	4.393893	1544685300	1544686200	21	20
CEK049	50.82448	4.393893	1544686200	1544687100	13	23
CEK049	50.82448	4.393893	1544687100	1544688000	12	19
CEK049	50.82448	4.393893	1544688000	1544688900	5	21
CEK049	50.82448	4.393893	1544688900	1544689800	11	22
CEK049	50.82448	4.393893	1544689800	1544690700	6	24
CEK049	50.82448	4.393893	1544690700	1544691600	9	26
CEK049	50.82448	4.393893	1544691600	1544692500	13	18
CEK049	50.82448	4.393893	1544692500	1544693400	5	21
CEK049	50.82448	4.393893	1544693400	1544694300	4	15
CEK049	50.82448	4.393893	1544694300	1544695200	7	23
CEK049	50.82448	4.393893	1544695200	1544696100	7	20
CEK049	50.82448	4.393893	1544696100	1544697000	11	19
CEK049	50.82448	4.393893	1544697000	1544697900	17	21
CEK049	50.82448	4.393893	1544697900	1544698800	12	18
CEK049	50.82448	4.393893	1544698800	1544699700	12	23
CEK049	50.82448	4.393893	1544699700	1544700600	6	19
CEK049	50.82448	4.393893	1544700600	1544701500	9	21
CEK049	50.82448	4.393893	1544701500	1544702400	8	21
CEK049	50.82448	4.393893	1544702400	1544703300	8	20
CEK049	50.82448	4.393893	1544703300	1544704200	8	17
CEK049	50.82448	4.393893	1544704200	1544705100	12	24
CEK049	50.82448	4.393893	1544705100	1544706000	11	19
CEK049	50.82448	4.393893	1544706000	1544706900	3	18
CEK049	50.82448	4.393893	1544706900	1544707800	17	18
CEK049	50.82448	4.393893	1544707800	1544708700	14	18
CEK049	50.82448	4.393893	1544708700	1544709600	16	19
CEK049	50.82448	4.393893	1544709600	1544710500	16	19
CEK049	50.82448	4.393893	1544710500	1544711400	19	21
CEK049	50.82448	4.393893	1544711400	1544712300	17	20
CEK049	50.82448	4.393893	1544712300	1544713200	17	21
CEK049	50.82448	4.393893	1544713200	1544714100	19	22
CEK049	50.82448	4.393893	1544714100	1544715000	26	21
CEK049	50.82448	4.393893	1544715000	1544715900	23	20
CEK049	50.82448	4.393893	1544715900	1544716800	19	19
CEK049	50.82448	4.393893	1544716800	1544717700	18	19
CEK049	50.82448	4.393893	1544717700	1544718600	28	18
CEK049	50.82448	4.393893	1544718600	1544719500	22	21
CEK049	50.82448	4.393893	1544719500	1544720400	16	20
CEK049	50.82448	4.393893	1544720400	1544721300	13	22
CEK049	50.82448	4.393893	1544721300	1544722200	14	22
CEK049	50.82448	4.393893	1544722200	1544723100	11	21
CEK049	50.82448	4.393893	1544723100	1544724000	13	20
CEK049	50.82448	4.393893	1544724000	1544724900	7	19
CEK049	50.82448	4.393893	1544724900	1544725800	11	20
CEK049	50.82448	4.393893	1544725800	1544726700	1	16
CEK049	50.82448	4.393893	1544726700	1544727600	5	16
CEK049	50.82448	4.393893	1544727600	1544728500	3	17
CEK049	50.82448	4.393893	1544728500	1544729400	14	18
CEK049	50.82448	4.393893	1544729400	1544730300	6	21
CEK049	50.82448	4.393893	1544730300	1544731200	2	20
CEK049	50.82448	4.393893	1544731200	1544732100	9	22
CEK049	50.82448	4.393893	1544732100	1544733000	4	18
CEK049	50.82448	4.393893	1544733000	1544733900	8	18
CEK049	50.82448	4.393893	1544733900	1544734800	1	17
CEK049	50.82448	4.393893	1544734800	1544735700	1	24
CEK049	50.82448	4.393893	1544735700	1544736600	1	14
CEK049	50.82448	4.393893	1544736600	1544737500	7	20
CEK049	50.82448	4.393893	1544737500	1544738400	4	17
CEK049	50.82448	4.393893	1544738400	1544739300	6	16
CEK049	50.82448	4.393893	1544740200	1544741100	1	15
CEK049	50.82448	4.393893	1544741100	1544741999	3	19
CEK049	50.82448	4.393893	1544742000	1544742900	1	16
CEK049	50.82448	4.393893	1544743800	1544744700	2	30
CEK049	50.82448	4.393893	1544745600	1544746500	2	20
CEK049	50.82448	4.393893	1544746500	1544747400	2	17
CEK049	50.82448	4.393893	1544749200	1544750100	2	36
CEK049	50.82448	4.393893	1544751000	1544751900	1	16
CEK049	50.82448	4.393893	1544752800	1544753700	1	19
CEK049	50.82448	4.393893	1544757300	1544758200	1	14
CEK049	50.82448	4.393893	1544760900	1544761800	1	23
CEK049	50.82448	4.393893	1544761800	1544762700	4	18
CEK049	50.82448	4.393893	1544762700	1544763600	2	22
CEK049	50.82448	4.393893	1544763600	1544764500	1	14
CEK049	50.82448	4.393893	1544764500	1544765400	4	21
CEK049	50.82448	4.393893	1544765400	1544766300	8	21
CEK049	50.82448	4.393893	1544766300	1544767200	18	21
CEK049	50.82448	4.393893	1544767200	1544768100	23	21
CEK049	50.82448	4.393893	1544768100	1544769000	20	22
CEK049	50.82448	4.393893	1544769000	1544769900	28	23
CEK049	50.82448	4.393893	1544769900	1544770800	31	20
CEK049	50.82448	4.393893	1544770800	1544771700	22	22
CEK049	50.82448	4.393893	1544771700	1544772600	20	23
CEK049	50.82448	4.393893	1544772600	1544773500	13	22
CEK049	50.82448	4.393893	1544773500	1544774400	14	22
CEK049	50.82448	4.393893	1544774400	1544775300	7	23
CEK049	50.82448	4.393893	1544775300	1544776200	11	23
CEK049	50.82448	4.393893	1544776200	1544777100	3	23
CEK049	50.82448	4.393893	1544777100	1544778000	4	22
CEK049	50.82448	4.393893	1544778000	1544778900	1	23
CEK049	50.82448	4.393893	1544778900	1544779800	3	24
CEK049	50.82448	4.393893	1544779800	1544780700	10	19
CEK049	50.82448	4.393893	1544780700	1544781600	9	17
CEK049	50.82448	4.393893	1544781600	1544782500	7	19
CEK049	50.82448	4.393893	1544782500	1544783400	13	22
CEK049	50.82448	4.393893	1544783400	1544784300	13	20
CEK049	50.82448	4.393893	1544784300	1544785200	9	17
CEK049	50.82448	4.393893	1544785200	1544786100	13	22
CEK049	50.82448	4.393893	1544786100	1544787000	6	21
CEK049	50.82448	4.393893	1544787000	1544787900	12	23
CEK049	50.82448	4.393893	1544787900	1544788800	9	16
CEK049	50.82448	4.393893	1544788800	1544789700	10	18
CEK049	50.82448	4.393893	1544789700	1544790600	7	16
CEK049	50.82448	4.393893	1544790600	1544791500	5	18
CEK049	50.82448	4.393893	1544791500	1544792400	11	20
CEK049	50.82448	4.393893	1544792400	1544793300	10	20
CEK049	50.82448	4.393893	1544793300	1544794200	10	19
CEK049	50.82448	4.393893	1544794200	1544795100	16	17
CEK049	50.82448	4.393893	1544795100	1544796000	10	21
